,Syl_Per_Speaker,minF0,maxF0,meanF0,meanStd,meanZnorm,Total_Whispered
26,3.886140681873678,3.9806112947572516,6.274405746956638,0.22447687797535779,5.181432781659656,0.3674787970766621,0
27,6.340637252848717,3.9823455385842808,6.248191614503873,0.1809601870976878,5.311675899106051,0.5622361566110045,1
28,3.513603830886218,4.003994682950111,6.108971326618699,0.16054579556962287,5.4303564300692155,-0.17952699694367055,0
29,4.062862058387907,3.9794285684094506,6.222232159509899,0.2888610301219917,5.024173261712855,-0.2971053906876369,1
30,4.246158752575933,3.985946329187746,6.303638726448552,0.20647158629448337,5.183235038508677,-0.16743102859290096,1
31,3.823777261781184,4.020291794060936,6.241664887276818,0.11036078314245852,4.855314365760862,-0.8702325274442021,0
32,4.227184963140388,3.9782244478786137,6.290801044989186,0.13319417575691864,4.61719556122296,0.10602667368382339,7
33,3.6982809058308024,3.98225372740532,6.305496451358046,0.17543374242226775,5.165712492711877,-0.5330486580013754,3
34,3.708666520987404,3.9840566896282157,6.284702674008171,0.16957734688166995,5.120752876477532,-0.72440945965438,5
35,3.46401845621806,3.9807563217491944,6.293631469140119,0.1507641462717867,5.250488558306311,0.053729263813113166,11
36,5.08219324729565,1.6985071788461772,6.2994781157333,0.18317798285209785,4.934197418501131,-0.13252666700111285,25
37,3.112750182838607,3.9845301616986784,6.299079050335116,0.252489520862955,5.300734009015128,-0.05515457947003705,4
38,3.9092642482192286,3.9941132933000154,6.292385321148435,0.1947613466571011,5.131347383697394,0.17789062851990614,6
39,3.4411952366279768,3.979374577105889,6.293649290623896,0.21772892412489256,5.341650649609688,-0.21662471598255567,4
40,3.981914712994727,3.9792516058462,6.293905523934748,0.2097524042072119,4.658098737176652,0.13930803275503356,5
41,3.2505412951252364,3.981370031724176,6.303664745701125,0.19263743097692937,5.314545293616862,0.43080231580543094,0
42,3.3049848604215195,3.979463087081167,6.192697876953038,0.2218009898117124,4.839305496395533,-0.5201648198056988,9
43,3.9783619156500776,3.9842943408684746,6.293960100365839,0.1658723227974922,5.173453761600085,0.15294325828884006,2
44,3.21700692132689,3.986743582869676,6.210770176606848,0.19927169048362456,5.018467295590616,0.5552056865807162,2
45,3.498444097651539,3.977006721831785,6.296894718431182,0.16772322153868274,4.709086567893995,0.16341541600622458,4
46,3.8466136058071903,3.9771504854043664,6.3034381433048825,0.2762843131144902,5.061303005814037,0.0555139266064574,1
47,3.3703363848911483,3.9812156250305204,6.293720122242393,0.2660468209323621,4.703428762163035,-0.07980571939282463,13
48,4.249827974863484,3.9779328516852095,6.1888291339413,0.13067852776074382,4.7135236079783995,-0.30282093419758943,5
49,3.3682517442681497,3.9850079488446237,6.2458114820641235,0.12004653982215312,4.721360312542721,-1.0178817534455398,0
